Anbieter_ObjektID,Vermarktungstyp,Erstellungsdatum,id,Anbieter_ID,Boersen_ID,Immobilientyp,erzeugt_am,Land,description,OBID,Bundesland,Monat,Stadt,Wohnflaeche,Kaufpreis,Ueberschrift,name,url,Gewerblich,Bezirk,Immobilientyp_detail,PLZ,Telefon,Haushnummer
,,,,Immobilienscout,,,,,"Berlin, Schwanebecker Chaussee, B, KT 450, frei ab: 01.01.2016",,,,Berlin,,"150,00 EUR",,Gewerbeflächen zu vermieten,http://connect.quoka.de/qpa/click.php?url=http%3A%2F%2Faffiliate.immobilienscout24.de%2Fgo.cgi%3Fpid%3D12%26wmid%3D325%26cpid%3D2%26prid%3D20%26target%3DSuche_Deeplink_Expose%26subid%3Dquoka_27_2710%26attr1%3D72978622&p=immoscout24&v=quoka&c=27_2710&d=3762&bc=0&s=searchresult&pos=REPLACEPLACEMENT&pn=1,,,,13,,
,,,,Immobilienscout,,,,,"Berlin, Lietzenburger Str., B, Bj. 1956, KT 7.400,00, frei ab: ab sofort",,,,Berlin,,EUR,,Büro/Praxiseinheit in Berlin West,http://connect.quoka.de/qpa/click.php?url=http%3A%2F%2Faffiliate.immobilienscout24.de%2Fgo.cgi%3Fpid%3D12%26wmid%3D325%26cpid%3D2%26prid%3D20%26target%3DSuche_Deeplink_Expose%26subid%3Dquoka_27_2710%26attr1%3D82752707&p=immoscout24&v=quoka&c=27_2710&d=3762&bc=0&s=searchresult&pos=REPLACEPLACEMENT&pn=1,,,,10,,
,,,,Immobilienscout,,,,,"Berlin, Friedenstraße, B, Bj. 1920, KT 3 Nettokaltmieten, frei ab: kurzfristig nach Absprache",,,,Berlin,,"1650,00 EUR",,Büro im Hof - Remise - attraktiv und preiswert!,http://connect.quoka.de/qpa/click.php?url=http%3A%2F%2Faffiliate.immobilienscout24.de%2Fgo.cgi%3Fpid%3D12%26wmid%3D325%26cpid%3D2%26prid%3D20%26target%3DSuche_Deeplink_Expose%26subid%3Dquoka_27_2710%26attr1%3D84449559&p=immoscout24&v=quoka&c=27_2710&d=3762&bc=0&s=searchresult&pos=REPLACEPLACEMENT&pn=1,,,,12,,
,,,,Immobilienscout,,,,,"Berlin, B, Bj. 1965, frei ab: ca. 4-5 Monate nach MV-Unterzeichnung",,,,Berlin,,EUR,,"C&W: Moderne, hochwertige Büro mit Ku'damm-Adresse! ***provisionsfrei***",http://connect.quoka.de/qpa/click.php?url=http%3A%2F%2Faffiliate.immobilienscout24.de%2Fgo.cgi%3Fpid%3D12%26wmid%3D325%26cpid%3D2%26prid%3D20%26target%3DSuche_Deeplink_Expose%26subid%3Dquoka_27_2710%26attr1%3D83541279&p=immoscout24&v=quoka&c=27_2710&d=3762&bc=0&s=searchresult&pos=REPLACEPLACEMENT&pn=1,,,,10,,
,,,,Immobilienscout,,,,,"Berlin, Goethestraße, Loft, KT 3 Gesamtmieten, frei ab: sofort",,,,Berlin,,EUR,,"Büro-Loft zwischen Ku'damm und Bhf. ZOO, Kiezlage, sehr gute Verkehrsanbindung",http://connect.quoka.de/qpa/click.php?url=http%3A%2F%2Faffiliate.immobilienscout24.de%2Fgo.cgi%3Fpid%3D12%26wmid%3D325%26cpid%3D2%26prid%3D20%26target%3DSuche_Deeplink_Expose%26subid%3Dquoka_27_2710%26attr1%3D83578144&p=immoscout24&v=quoka&c=27_2710&d=3762&bc=0&s=searchresult&pos=REPLACEPLACEMENT&pn=1,,,,10,,
,,,,Immobilienscout,,,,,"Berlin, Wohn- und Gesch, Bj. 1995, frei ab: nach Vereinbarung",,,,Berlin,,"1100,00 EUR",,"Großzügige Räumlichkeiten (Büro,Praxis etc) mit Garten in Kiezlage Friedrichshain zu vermieten",http://connect.quoka.de/qpa/click.php?url=http%3A%2F%2Faffiliate.immobilienscout24.de%2Fgo.cgi%3Fpid%3D12%26wmid%3D325%26cpid%3D2%26prid%3D20%26target%3DSuche_Deeplink_Expose%26subid%3Dquoka_27_2710%26attr1%3D55866662&p=immoscout24&v=quoka&c=27_2710&d=3762&bc=0&s=searchresult&pos=REPLACEPLACEMENT&pn=1,,,,10,,
,,,,Immobilienscout,,,,,"Berlin, Scharnweberstr., B, Bj. 1991, KT 3 Bruttomieten, frei ab: sofort",,,,Berlin,,"529,35 EUR",,FRIEDRICHSHAIN : Ein ANGEBOT für Ihr BÜRO nahe U Samariterstrasse (ab SOFORT),http://connect.quoka.de/qpa/click.php?url=http%3A%2F%2Faffiliate.immobilienscout24.de%2Fgo.cgi%3Fpid%3D12%26wmid%3D325%26cpid%3D2%26prid%3D20%26target%3DSuche_Deeplink_Expose%26subid%3Dquoka_27_2710%26attr1%3D84594253&p=immoscout24&v=quoka&c=27_2710&d=3762&bc=0&s=searchresult&pos=REPLACEPLACEMENT&pn=1,,,,10,,
,,,,Immobilienscout,,,,,"Berlin, Bergmannstr., Loft, KT 157000,00 EUR, frei ab: sofort",,,,Berlin,,"16,50 EUR",,Mitten im Bergmannkiez - moderne Büros,http://connect.quoka.de/qpa/click.php?url=http%3A%2F%2Faffiliate.immobilienscout24.de%2Fgo.cgi%3Fpid%3D12%26wmid%3D325%26cpid%3D2%26prid%3D20%26target%3DSuche_Deeplink_Expose%26subid%3Dquoka_27_2710%26attr1%3D81523936&p=immoscout24&v=quoka&c=27_2710&d=3762&bc=0&s=searchresult&pos=REPLACEPLACEMENT&pn=1,,,,10,,
,,,,Immobilienscout,,,,,"Berlin, Symeonstr., B, Bj. 1985, KT 672,00, frei ab: sofort",,,,Berlin,,"228,48 EUR",,kleines Büro in Marienfelde,http://connect.quoka.de/qpa/click.php?url=http%3A%2F%2Faffiliate.immobilienscout24.de%2Fgo.cgi%3Fpid%3D12%26wmid%3D325%26cpid%3D2%26prid%3D20%26target%3DSuche_Deeplink_Expose%26subid%3Dquoka_27_2710%26attr1%3D46850072&p=immoscout24&v=quoka&c=27_2710&d=3762&bc=0&s=searchresult&pos=REPLACEPLACEMENT&pn=1,,,,12,,
,,,,Immobilienscout,,,,,"Berlin, B, Bj. 1900, KT 3 NKM, frei ab: Vereinbarung",,,,Berlin,,"1006,25 EUR",,Repräsentative Büro/Praxisräume in der Altstadt Köpenick,http://connect.quoka.de/qpa/click.php?url=http%3A%2F%2Faffiliate.immobilienscout24.de%2Fgo.cgi%3Fpid%3D12%26wmid%3D325%26cpid%3D2%26prid%3D20%26target%3DSuche_Deeplink_Expose%26subid%3Dquoka_27_2710%26attr1%3D82997631&p=immoscout24&v=quoka&c=27_2710&d=3762&bc=0&s=searchresult&pos=REPLACEPLACEMENT&pn=1,,,,12,,
